iter	RMSE
0	3703.934014
1	3401.818536
2	3123.719501
3	2876.695422
4	2651.205322
5	2452.38089
6	2263.778491
7	2091.411394
8	1943.086954
9	1807.849673
10	1685.918935
11	1575.70616
12	1477.635733
13	1387.171123
14	1305.70918
15	1236.038028
16	1172.838953
17	1116.438654
18	1067.342623
19	1024.176836
20	984.9199389
21	947.9325642
22	918.1881152
23	891.967535
24	867.9756146
25	843.9029221
26	825.339639
27	807.4420009
28	790.0914213
29	774.8149757
30	760.8270371
31	748.0311676
32	737.0830782
33	728.1026997
34	721.0046682
35	712.4960751
36	704.1131055
37	697.2000684
38	690.9954698
39	686.0423016
40	680.7840486
41	677.1117642
42	672.9430587
43	669.7355899
44	666.1114694
45	663.2790754
46	660.4964422
47	657.8582394
48	654.8523858
49	652.6498219
50	651.0354645
51	647.2513046
52	644.6920441
53	641.752609
54	639.3547806
55	638.0056699
56	635.869943
57	634.5149005
58	633.2189469
59	632.0455044
60	630.8980056
61	628.5392187
62	627.6527838
63	626.5833085
64	625.5180781
65	624.2095257
66	622.0741998
67	621.2251488
68	619.7999918
69	618.0721053
70	617.2535127
71	615.5774514
72	614.7407275
73	614.0701663
74	613.1745889
75	612.5281541
76	611.3233139
77	610.2813877
78	609.6369334
79	609.1874248
80	608.2946364
81	607.2036794
82	606.0569637
83	605.4322999
84	604.6289646
85	603.9786008
86	603.5368906
87	602.8937243
88	602.3696813
89	601.4530372
90	600.6325665
91	600.0726961
92	599.0864669
93	598.7720118
94	598.3995563
95	597.9643803
96	597.3442082
97	596.983397
98	596.7069295
99	596.1837799
100	595.8652983
101	595.5500307
102	595.2017103
103	594.859082
104	594.3790141
105	593.9647525
106	593.7080246
107	593.4046647
108	593.0641397
109	592.6754356
110	592.4907486
111	592.1100084
112	591.8761262
113	591.6433656
114	591.5084565
115	591.3084272
116	590.85278
117	590.532169
118	590.2816545
119	590.0589196
120	589.8739028
121	589.486846
122	589.2680717
123	588.8113727
124	588.3549379
125	587.8019729
126	587.5617765
127	587.3477512
128	587.1745242
129	586.977714
130	586.7470253
131	586.457272
132	586.1475171
133	585.7764733
134	585.4436971
135	585.2083417
136	585.0377425
137	584.8481508
138	584.6045729
139	584.4906284
140	584.2008802
141	583.944667
142	583.5900878
143	583.2448652
144	583.011009
145	582.8200858
146	582.671703
147	582.2927921
148	581.9112282
149	581.7350557
150	581.4706214
151	581.257803
152	581.1241467
153	580.9637088
154	580.817385
155	580.670945
156	580.4529408
157	580.322777
158	580.0504066
159	579.8867355
160	579.6904967
161	579.5676106
162	579.405164
163	579.2396507
164	579.0947217
165	578.9596506
166	578.8612255
167	578.6691435
168	578.5319799
169	578.4474067
170	578.3227724
171	578.2265599
172	578.0720749
173	577.9272282
174	577.8479156
175	577.688194
176	577.5703986
177	577.4224107
178	577.3659316
179	577.1462045
180	577.0225725
181	576.8409141
182	576.662049
183	576.5024081
184	576.3782767
185	576.3122636
186	576.1898561
187	576.0109694
188	575.8986736
189	575.7892145
190	575.527808
191	575.3634289
192	575.2442025
193	575.1676769
194	575.0585715
195	574.9900194
196	574.8767492
197	574.7912638
198	574.6393201
199	574.5033972
200	574.3350071
201	574.2423519
202	574.1840734
203	574.0765283
204	573.9726597
205	573.7901162
206	573.5772225
207	573.4235954
208	573.366411
209	573.2763299
210	573.1646117
211	572.9928262
212	572.8580411
213	572.7218825
214	572.5864065
215	572.4777026
216	572.316877
217	572.1476768
218	572.0550293
219	571.9358141
220	571.8209298
221	571.7413638
222	571.646353
223	571.4908354
224	571.3228082
225	571.2237596
226	571.0775014
227	570.9778788
228	570.898511
229	570.7944748
230	570.6952285
231	570.6444634
232	570.5210269
233	570.4346169
234	570.2597917
235	570.1869769
236	570.051023
237	569.9586131
238	569.822673
239	569.7175919
240	569.5943797
241	569.4688668
242	569.3467068
243	569.2507324
244	569.1266487
245	569.0130874
246	568.8729494
247	568.8384981
