iter	Passed	Remaining
0	16	16000
1	22	11451
2	29	9801
3	36	9062
4	43	8736
5	51	8578
6	59	8370
7	65	8121
8	71	7906
9	78	7752
10	85	7644
11	91	7541
12	98	7466
13	104	7382
14	111	7332
15	118	7275
16	124	7215
17	131	7164
18	137	7090
19	143	7044
20	150	7000
21	156	6963
22	163	6950
23	170	6922
24	176	6872
25	183	6859
26	190	6852
27	196	6836
28	204	6861
29	211	6846
30	219	6858
31	225	6835
32	232	6824
33	240	6822
34	247	6822
35	255	6842
36	263	6865
37	270	6856
38	277	6848
39	285	6859
40	292	6844
41	299	6835
42	307	6838
43	314	6840
44	321	6830
45	330	6857
46	337	6848
47	346	6863
48	353	6858
49	362	6886
50	369	6884
51	378	6905
52	386	6908
53	395	6930
54	405	6974
55	414	6992
56	424	7017
57	431	7010
58	438	6991
59	444	6961
60	449	6926
61	456	6906
62	462	6884
63	469	6866
64	476	6852
65	484	6857
66	492	6863
67	501	6870
68	509	6873
69	517	6873
70	525	6878
71	534	6888
72	542	6890
73	549	6878
74	557	6873
75	565	6881
76	574	6890
77	583	6895
78	591	6899
79	599	6895
80	607	6895
81	614	6884
82	623	6892
83	631	6884
84	639	6885
85	646	6871
86	655	6878
87	663	6872
88	670	6861
89	678	6855
90	686	6855
91	693	6846
92	701	6837
93	709	6833
94	716	6827
95	723	6811
96	731	6805
97	737	6791
98	744	6775
99	751	6766
100	758	6750
101	765	6739
102	773	6733
103	779	6717
104	787	6709
105	795	6706
106	802	6694
107	809	6686
108	817	6679
109	823	6664
110	830	6654
111	839	6653
112	847	6653
113	855	6648
114	864	6649
115	872	6649
116	882	6660
117	891	6667
118	900	6666
119	909	6666
120	918	6671
121	927	6674
122	936	6680
123	946	6684
124	953	6676
125	962	6675
126	971	6676
127	980	6680
128	986	6663
129	992	6644
130	998	6626
131	1004	6607
132	1011	6590
133	1017	6573
134	1025	6570
135	1033	6567
136	1040	6557
137	1049	6555
138	1058	6553
139	1065	6546
140	1072	6534
141	1080	6531
142	1089	6530
143	1098	6531
144	1105	6519
145	1113	6515
146	1121	6508
147	1129	6499
148	1136	6492
149	1144	6487
150	1153	6484
151	1159	6469
152	1167	6465
153	1175	6455
154	1180	6436
155	1187	6425
156	1195	6420
157	1201	6404
158	1209	6396
159	1218	6395
160	1224	6380
161	1232	6375
162	1239	6365
163	1245	6350
164	1254	6349
165	1263	6347
166	1270	6336
167	1277	6327
168	1286	6324
169	1292	6311
170	1300	6303
171	1308	6298
172	1316	6293
173	1322	6279
174	1330	6274
175	1338	6266
176	1344	6252
177	1352	6246
178	1359	6234
179	1365	6222
180	1372	6212
181	1380	6205
182	1387	6196
183	1396	6193
184	1405	6193
185	1413	6183
186	1420	6174
187	1428	6171
188	1436	6165
189	1444	6156
190	1452	6151
191	1460	6144
192	1466	6133
193	1473	6122
194	1481	6114
195	1487	6102
196	1495	6094
